Article Id,Summary,Caption,Category
11,"There are now 98 cases in 18 countries outside China. Eight involving human-to-human transmission in Germany, Japan, Vietnam and the US. Around 150 UK citizens are due to be brought back from a flight leaving the epicentre of the outbreak, the Chinese city of Wuhan, at 7am local time on Friday. British medical officers increased the risk level in the UK from low to moderate. At least 170 people have died from the virus in China, however there have so far been no deaths outside of the country.",The virus has been declared a global health emergency after 170 people died,Equivalence
12,"Italy has confirmed its first cases of the deadly coronavirus, shortly after the outbreak was declared a global health emergency. Italian prime minister, Giuseppe Conte, revealed that two Chinese tourists have tested positive for the virus. He has since ordered all air traffic to be blocked between Italy and China. Comes after more than 6,000 passengers and 1,000 crew members were stuck on an Italian cruise ship north of Rome on Thursday, after a Chinese woman, 54, fell ill. There are now 98 cases in 18 countries outside China, while there have been eight involving human-to-human transmission in Germany, Japan, Vietnam and the US.",The countryâ€™s prime minister confirmed there have been two positive cases in the country,Equivalence
13,"Two patients in England, who are members of the same family, have tested positive for the virus, Chief Medical Officer for England Professor Chris Whitty said. Department of Health has declined to say where in England the patients are from but it is understood they are being treated at a hospital in Newcastle. At least 213 people have died in China due to the outbreak â€“ most in Hubei province â€“ with almost 10,000 cases nationally. Another 98 cases have been confirmed in 18 countries outside China, eight involving human-to-human transmission.","More than 200 people have died from coronavirus, all but one in Hubei province where the virus is believed to have originated",Equivalence
14,First cases of killer coronavirus have been confirmed in two patients in the UK. A frantic search is now underway to find anyone who may have come into contact with the patients â€“ who are members of the same family. The pair are now in isolation and being treated by a specialist infectious disease team in Newcastle after being diagnosed and transferred there overnight. The Department of Health has so far declined to say where in England the patients are from. Authorities have said the NHS is â€˜extremely well-preparedâ€™ for cases of the Wuhan novel coronav virus.,Ambulance crews on stand-by at RAF Brize Norton in Oxfordshire where a return flight from Wuhan will land today,Complementarity
15,"The person is a Chinese national who was diagnosed this afternoon. She is believed to be on her way to hospital where she will receive medical attention. Experts have previously warned that London is at greater risk than other cities in Europe due to its large population and admiration by tourists. It is estimated that around 142,000 travel from China to the capital between January and March every year. The new case in London means there are nine people in the UK infected with the coronavirus, while more than 1,750 have been tested.",People in London wear face masks amid the coronavirus outbreak,Complementarity
16,Doctors still do not know how fast coronavirus could spread if a serious outbreak spreads in the capital. Londoners have been put on red alert after a woman became the ninth person in the UK to test positive for the deadly virus. Itâ€™s feared the highly-contagious disease could easily spread among packed Tube carriages and buses. But experts have said the risk canâ€™t be properly assessed until they know more about the new strain of coronav virus. Tropical disease specialist Dr Richard Dawood said: â€˜Weâ€™re only two months into the very first recorded case.â€™,"London has recorded its first case of coronavirus, sparking fears about the London Underground",Equivalence
17,"The patient was one of the 250 delegates at the UK Bus Summit at the QEII centre in Westminster on February 6. They did not start showing symptoms until three days later and were later confirmed to have the disease. They were among delegates and high profile people from across the country including bus minister Baroness Vere of Norbiton. Initially it was thought she was the London patient, the ninth person to have contracted the virus, but this was not the case. Nearly 800 people were tested yesterday for the virus across the UK after the ninth confirmed case of coronavirus.",Some 250 people have been emailed warning them to look out for symptoms ove the virus,Equivalence
18,"Professor Neil Ferguson admitted the deadly virus is the â€˜one which concerns me the mostâ€™ in an interview on Friday, as the death toll in China hits 1,500 and 66,000 people are infected. The British scientist admitted the figure was â€˜possibleâ€™ but warned against estimating numbers as so little information is currently available. Speaking on Channel 4â€™s special â€˜Coronavirus: Is Britain ready?â€™, the professor said Britain is â€˜probably where Wuhan was at the beginning of Decemberâ€™",Professor Neil Ferguson said COVID-19 is the â€˜one which concerns me the mostâ€™,Equivalence
19,"Health Ministry spokesman Khaled Mugahed said that the affected person was a â€˜foreignerâ€™ who did not show any serious symptoms. Officials were able to confirm the case through a screening programme for travellers arriving from countries where the disease has spread. Coronavirus has spread to over 25 countries worldwide since emerging at a seafood market in the Chinese city of Wuhan in early December. The death toll has surged past 1,500 and there have been over 60,000 cases globally â€“ although experts say this figure could be much higher.",Governments and institutions across Africa are preparing for an outbreak of the deadly coronavirus,Complementarity
20,"Greffex said it is ready for animal testing and review by US regulators. Firm insisted that, for the sake of safety, scientists avoided using any form of the virus itself to make the vaccine. Because so little is known about the virus, known as COVID-19, the experts didnâ€™t want to run the risk of exposure or spread. Instead, they used an adenovirus â€“ one of the most common causes of respiratory infections and behind between two and five percent of colds.",Texas-based genetic engineering firm Greffex claims to have found a coronavirus vaccine,Equivalence
21,Conspiracy theorists are blaming the coronavirus on 5G mobile technology with no evidence for their claims. Users on Facebook and YouTube have shared posts and videos which have been collectively watched and shared by thousands of people. The theory centers on the fact that Wuhan was the first city in China to receive 5G (there is no evidence to suggest it can) and that COVID-19 is just a more virulent version of a cold. Some of the theories also blame vaccines given to Chinese citizen last year.,There is no evidence that 5G has anything to do with the coronavirus,Equivalence
22,"Vatican said the pontiff, 83, had a â€˜slight indispositionâ€™ and would proceed with the rest of his planned work today. There was no word from the Vatican about the nature of his illness, but the pope was seen coughing and blowing his nose during the Ash Wednesday Mass. It comes amid an outbreak of the strain of coronavirus â€“ also known as Covid-19 â€“ in Italy that has infected more than 400 people, almost all of them in the north.",The Pope appeared unwell yesterday,Equivalence
23,"Two more people in England have tested positive for coronavirus, bringing the total number of UK cases to 15. One of the new cases is understood to be a parent from Burbage Primary School in Buxton, Derbyshire, who caught the virus while in Tenerife. 168 Britons have been told to isolate themselves at the H10 Costa Adeje Palace after four people who stayed there from Italy were confirmed to have caught the deadly virus. More than 400 people have been infected with the virus in Italy and 12 people have died.",Two more people have caught coronavirus in the UK â€“ they contracted the virus in Italy and Tenerife,Equivalence
24,"Female tour-bus guide, 40, in Osaka, Japan, tested positive for the infection for a second time. Follows reports that discharged patients throughout the country were testing positive after their release from hospital. Experts said there are several ways discharged patients could fall ill with the virus again. Convalescing patients might not build up enough antibodies to develop immunity to SARS-CoV-2, and are being infected again. The virus also could be â€˜biphasicâ€™, meaning it lies dormant before creating new symptoms.","Commuters make their way to work during morning rush hour at the Shinagawa train station in Tokyo, Japan",Complementarity
25,"Covid-19, the current strain of coronavirus, continues to spread across the world. The virus has now struck over 50 countries, including China, South Korea, Japan, Thailand, Iran, Italy, Germany, the US, and the UK. At the time of writing, WHO figures report over 2,800 deaths worldwide, most of which have occurred in China. There is no specific cure for the viral illness, although hospitals are trying to relieve the symptoms with aspirin, ibuprofen or cold and flu remedies.","Map of reported cases of coronavirus, dated 28 Feb",Complementarity
26,"Health Minister Marta Temido said two people contracted the virus after returning from abroad. One is a 60-year-old man who had recently travelled to Italy, the site of Europeâ€™s worst outbreak. Another man recently returned from Valencia in Spain. Both were taken to hospital in Porto in a stable condition, Ms Temido added. The president of the European Commission said the risk of coronavirus in the EU had risen from moderate to high. Paolo Gentiloni called for a â€˜coordinated fiscal responseâ€™ across the continent.",Every country in western Europe has now reported cases of the virus,Complementarity
27,"Morocco has its first coronavirus case, officials confirmed. The North African countryâ€™s health ministry said on Monday a Moroccan man living in Italy had been diagnosed with the infection. The man is currently receiving health care at a hospital in Casablanca and his health condition is not critical. Meanwhile, in the UK Boris Johnson has warned the spread of coronav virus is likely to become more significant across the UK as the number of people infected climbs to 39. In total, four new cases were announced on Monday, all among people with recent travel to Italy, which is experiencing the biggest outbreak in Europe.",A man in Morocco has been diagnosed with the coronavirus,Equivalence
28,"Boris Johnson has revealed the government's battle plan to tackle coronavirus in the UK. If police lose 'significant staff' numbers to illness, they would 'concentrate 'on responding to serious crimes and maintaining public order' In a 'stretching scenario', it is possible that up to one fifth of employees may be absent from work during peak weeks. Supporting staff welfare 'will be critical' for businesses. The public can help delay the spread of the virus by washing hands with soap regularly, not spreading misinformation and relying on trusted sources.",Researchers claim coronavirus can be caught through smartphones,Independence
29,"Amelia-Eve Warden, 25, was diagnosed with multiple anxiety disorders seven years ago. She has experienced panic attacks when leaving the house due to fears of catching or spreading coronavirus. When she developed pneumonia, her fears spiralled. BACP-registered counsellor Elizabeth Turp explains that the threat of coronav virus hits some of us so hard because itâ€™s an â€˜unknown threatâ€™ that taps into many of our deepest anxieties. If you are struggling with health anxiety, there are some steps you can take.",The raised threat level is sure to induce more panic,Complementarity
30,"Ads were found to be â€˜misleading, irresponsible and likely to cause fear without justifiable reasonâ€™ They made false claims about their ability to prevent the spread of coronavirus. Advertising Standards Authority ruled that the adverts were in breach of its code and ordered the advertisers to ensure they did not repeat the claims. Easy Shopping 4 Home Ltd, which appeared on the Amazon website, and adverts by Novads OU for its Oxybreath Pro mask were banned by the ASA.",An advert for facemasks on the Amazon website,Equivalence
31,"Total number of confirmed cases in England is now at 80, with cases in Northern Ireland, Wales and Scotland bringing the UK total to 87. Englandâ€™s chief medical officer Professor Chris Whitty confirmed it was the biggest day-on-day increase since the Covid-19 strain of coronavirus hit the UK. He said 29 new patients had recently travelled from countries where the virus has spread, but it is not yet clear where a further three cases contracted the virus. Professor Whitty said the NHS would cope with a major spread of cases but could come under 'very high pressureâ€™ in a large epidemic.",A nurse demonstrates testing procedures at a â€˜coronavirus podâ€™ at Antrim Area Hospital in Northern Ireland,Complementarity
32,"The coronavirus has caused more than 3,000 deaths and infected almost 100,000 people around the world. A project called Folding@Home lets anyone use their computer to analyse the structure of the virus. All you need to do is download an app (which you can do by clicking here) that will harness your computerâ€™s processing power. Once this is understood, scientists will be one step closer to designing a life-saving vaccine. â€˜With many computers working towards the same goal, we aim to help develop a therapeutic remedy as quickly as possibleâ€™",An electron microscope image of the novel Coronavirus SARS-CoV-2,Equivalence
33,"A child has tested positive for coronavirus at Alder Hey Childrenâ€™s Hospital in Liverpool. At the time of writing, there have been 163 confirmed cases of the virus in the UK. The first person to die after testing positive for the virus was a woman in her 70s with underlying health conditions. A second person, a man in his 80s, is also feared to have died from coronav virus in a Milton Keynes hospital. Downing Street has warned that it is â€˜highly likelyâ€™ coronav Virus could spread â€˜in a significant wayâ€™",The number of people whoâ€™ve tested positve for coronavirus in the UK has risen sharply,Equivalence
34,"Early symptoms of coronavirus include a fever, sore throat, dry cough, and shortness of breath. Many of those affected by the virus suffer only mild symptoms, however there has been fluid found in the lungs of some patients which is consistent with viral pneumonia. The illness is more likely to become severe in patients with weakened immune systems or among the elderly. People in the UK with â€˜minorâ€™ fever, cold or flu symptoms are asked to stay at home in self-isolation in a future bid to contain the virus.",People wearing masks to protect against coronavirus outside the Commonwealth Service at Westminster Abbey on Commonwealth Day,Complementarity
35,"Chancellor Rishi Sunak delivered one of the most important Budgets in UK history, amid the coronavirus outbreak. In his first month in the job, the chancellor was tasked with re-writing plans in a Budget that aims to bring some relief to the UK economy. Mr Sunak acknowledged there would be a â€˜significant impactâ€™ to the economy but it â€˜will be temporaryâ€™, adding that â€˜our economy is robustâ€™ and â€˜we will get through this togetherâ€™",Chancellor of the Exchequer Rishi Sunak holds up the traditional red box that contains the Budget speech,Complementarity
36,"Boris Johnson will chair an emergency Cobra meeting at lunchtime today. Ministers are expected to sign off on the â€˜delayâ€™ part of the Covid-19 strategy. It is not yet entirely clear what restrictions will be imposed. The number of positive cases in the UK jumped to 460 on Wednesday, an increase of 83 people in just 24 hours, and two new deaths were recorded, bringing the total number to eight. It came as Covids-19 was officially declared a pandemic by the World Health Organisation.",The UK is set to announce the â€˜delayâ€™ phase of its coronavirus â€˜battle planâ€™ today,Equivalence
37,"After today, Ireland will close all childcare facilities, schools and colleges. The Dublin St Patrickâ€™s Day parade, which was scheduled for 17 March, has also been cancelled, with a ban on large gatherings to be implemented. At the time of writing, there have been 34 confirmed cases of coronavirus in Ireland. The Foreign and Commonwealth Office has not advised against travelling to Ireland at this time. It does, however, advise that â€˜travellers to Ireland to follow the advice of the Health Service Executive and the Health Protection Surveillance Centreâ€™",There are 34 reported cases of coronavirus in Ireland,Equivalence
38,"Most countries now have some form of a travel ban in place with many imposing a ban on anyone entering from China. Many countries have banned entry for anyone who has visited Italy within the last 14-28 days, including Saudi Arabia, India, Jordan and Romania. President Trump has now imposed a sweeping ban on travellers coming to the USA from all of Europe, with the exception of non-Schengen countries such as the UK, Ireland and Croatia. UK residents can still, at the time of writing, enter most places, unless they have been to an affected area.",Travel plans have been affected across the world,Complementarity
39,"The coronavirus outbreak has now been officially classified as a global pandemic. Older people and people with pre-existing health conditions are at risk of becoming seriously ill or dying. It is vital that we are all cautious and do everything in our power to protect these vulnerable sections of society. But mass panic is not helpful. Increased levels of stress and anxiety are the last things we need at a time like this. We asked different sections of the public to explain why theyâ€™re feeling anxious right now, and their coping mechanisms for getting through the worst of it.",Itâ€™s best to only check for news updates twice per day,Complementarity
40,"Donâ€™t let your mind jump straight to â€˜oh God, I have coronavirusâ€™ You might be having a panic attack. Feeling anxious amidst the COVID-19 pandemic is to be expected. But you might not be able to identify the physical signs of struggling with anxiety. This can cause a dangerous cycle of panic. You worry about coronav virus, so your body creates what feels like symptoms. This leads to more anxiety and worsening symptoms. Early symptoms include a fever, dry cough, shortness of breath and a sore throat.",Itâ€™s important to recognise the very physical symptoms of anxiety,Equivalence
41,Trials have already successfully been completed in mice and could be ready for human trials by June. The experiments are being led at Imperial College London by Mucosal Infection and Immunity head Dr Robin Shattock. They have called for more funding and said a vaccine could be available next year. The developments come as the UK is poised to ban large public gatherings to contain the pandemic. So far 11 people in the UK have died and the number of cases is now close to 800.,Scientists say they are close to finding a coronavirus vaccine,Equivalence
42,World Health Organisation says not enough is known about the virus. Boris Johnson has come under fire for not immediately banning large-scale gatherings or closing schools to deal with the outbreak. Next week the UK is set to ban large scale gatherings of more than 500 people and give police new powers to detain infected people if they break self-isolation rules. The UK government believes the virus will infect the majority of the population and that the peak could still 10 to 14 weeks away. They are attempting to reduce pressure on the NHS by 'flattening out the curve' of the number of infections.,Dr Margaret Harris from the World Health Organisation questions the UK approach,Equivalence
43,"Number of confirmed cases of coronavirus in the UK has jumped by 232 in just one day, while 14 more people have died. As of 9am on March 15, a total of 1,372 were confirmed to have Covid-19, the Department of Health and Social Care announced. A man, in his late 50s, died after being treated at Bristol Royal Infirmary, it was confirmed earlier today. It came after Health Secretary Matt Hancock announced the elderly and vulnerable will be forced to go into quarantine for up to four months.",Numbers in the UK continue to rise as Europe has been confirmed as the new epicentre of the outbreak,Complementarity
44,"You can help by donating to food banks, giving blood and supporting small businesses. Check-in with friends and elderly relatives or neighbours to see if they need anything picked up from the shops. Join a Facebook group in your area to help, or if you need assistance, sign up and post in the group. Check with your local foodbank (by giving them a call or searching online as many are posting on social media) about what they need. See if thereâ€™s some things you can give away that you already have or donate funds if you can.",Knock to let someone know you are there and then leave what they need on the doorstep,Complementarity
45,"So far 21 people have lost their lives to Covid-19 in the UK, while 1,140 people are confirmed to have tested positive for the disease. Early symptoms of coronavirus include a fever, dry cough, shortness of breath and a sore throat. This can progress to a more serious illness in a small number of patients, mainly the elderly or those with underlying health conditions. If you think you may have symptoms of the virus do not go to a GP, pharmacy or hospital. Instead you should stay at home and self-isolate for seven days.",Coronavirus has claimed 21 lives in the UK so far while others are taking steps to prevent themselves against the disease,Equivalence
46,"Matt Hancock said â€˜we will stop at nothingâ€™ in tackling the Covid-19 outbreak. Bars, restaurants and shops other than supermarkets and pharmacies could be shut. Over-70s will be asked to stay indoors for up to four months. Emergency legislation being drawn up by the Government will include allowing police the power to arrest infected citizens. Labourâ€™s shadow health secretary Jonathan Ashworth asked for reassurance from the Government about some of the â€˜very stringent powersâ€™ ministers hope to introduce.",Police officers will get increased powers to deal with coronavirus patients who are not self-isolating,Equivalence
48,"Number of coronavirus deaths in the UK has jumped to 55 after 20 people died in just 24 hours. Department of Health confirmed another 171 people tested positive for Covid-19, bringing the total number of infections to 1,543. The latest figures come after the PM asked the country to go into voluntary lockdown as he set out the need for â€˜drastic actionâ€™ to tackle the â€˜fast growthâ€™ of the virus. â€˜Now is the time for everyone to stop non essential contact with others and to stop all unnecessary travelâ€™ he said.","Over 150,000 cases have been diagnosed worldwide",Complementarity
49,"At least 10 lives were saved when technician Christian Fracassi came to the aid of an overwhelmed Brescia hospital. Doctors raised the alarm after their regular supplier said they could not produce the valves on time â€“ forcing them to come up with an alternative solution. With the help of the editor of a local newspaper and tech expert Massimo Temporelli, doctors launched a search for a 3D printer â€“ a devise that produces three dimensional objects from computer designs. The valves he produced worked on 10 patients at the overstretched hospital, and the engineer is in the process of creating 100 more.",An oxygen valve firm has refused to hand over the blueprint of their device which could be produced en-masse with the help of a 3D printer,Complementarity
50,"Keri Hilson thinks 5G is to blame for coronavirus pandemic. Claims cellular data network caused virus due to radiation. There is no evidence that 5G and coronav virus are linked. Public Health England: â€˜The overall exposure is expected to remain low relative to guidelines and, as such, there should be no consequences for public healthâ€™ The number of confirmed cases and deaths in the UK is continuing to rise. Many countries across Europe, including Spain and Italy, are now in lockdown due to flu-like infection.",Keri Hilson thinks 5G started coronavirus,Equivalence
201,"Kelly Conkey Billups, 54, lost her brother David, 51, to the virus first on Sunday. He was followed by her mom Judy and dad Lewis, who passed away within hours of each other on Tuesday. The family had all met up to help Judith, 75, move into a care home for post-surgery rehab treatment on March 7. Kellyâ€™s husband Don remains on a ventilator at a hospital close to her home in Grove City, Ohio, with Kelly sharing her tragic story in a bid to get others to heed social distancing guidelines.","Kelly Conkey Billups lost brother David, beside her, as well as parents Judith and Lewis, front row, to Covid-19 within three days of each other. Kellyâ€™s husband Don, top row, far left, is currently on a ventilator with the same illness",Equivalence
202,"Hundreds of new ventilators are being manufactured in the UK every day. Cabinet Office Minister said more had been sourced from abroad â€“ including 300 which arrived from China today. It follows concerns that the country does not have enough ventilator or specialist equipment to deal with the outbreak as effectively as possible. NHS England national medical director Stephen Powis declined to provide a number on the countryâ€™s ventilation capacity. Yesterday, Airbus donated 400,000 face masks to the NHS. Today, the UK saw another surge in deaths, as 708 people infected with the virus were confirmed to have died.",NHS England national medical director Stephen Powis said the country is â€˜constantlyâ€™ looking for ventilators,Equivalence
203,"Patricia Bosworth died on Thursday in New York. Stepdaughter Fia Hatsay said it was a result of pneumonia brought on by Covid-19. She had been an actress, most known for her appearance alongside Audrey Hepburn in 1959â€™s The Nun's Story. She also had a career on stage on Broadway as well as parts in TV shows including The Patty Duke and Naked City. In the 1960s she left acting to become a journalist, writing for the New York Times and magazines.",Patricia Bosworth died from coronavirus complications,Equivalence
204,"PM sent letter to opposition party leaders urging them to join forces. Follows news that there were 684 more deaths from coronavirus on Friday. Total number of deaths in the UK is now 3,605. Government under pressure to roll out mass-testing and manufacture personal protective equipment that can be worn by NHS workers. Get in touch with our news team by emailing us at webnews@metro.co.uk. For all the latest news and updates on Coronavirus, click here.",The PM has invited his opponents to â€˜work togetherâ€™ in the fight against coronavirus,Equivalence
205,"PM tested positive for Covid-19 last week. Carrie Symonds, 31, has been self-isolating away from her partner. She wrote on Twitter: â€˜Iâ€™ve spent the past week in bed with the main symptoms of Coronavirus. I havenâ€™t needed to be tested and, after seven days of rest, I feel stronger and Iâ€™m on the mendâ€™ Ms Symonds announced that she was pregnant and engaged to Mr Johnson earlier this year.",Carrie Symonds says she is on the mend after displaying symptoms of coronavirus,Equivalence
206,"Joseph Bostain, from Clarksville in Tennessee, jokingly flexed his biceps and said: â€˜Iâ€™m a cystic fibrosis warrior and I beat Covid-19!â€™ The youngster fell ill with coronavirus last month, with his worried mother Sabrina sharing updates on Josephâ€™s condition regularly on Facebook. The genetic condition sees sufferersâ€™ produce thick mucus, which can clog their lungs. Joseph suffered a bad cough and fever while undergoing treatment for his existing illness, but managed to overcome the condition.","Cystic fibrosis sufferer Joseph Bostain, 6, fell seriously ill with coronavirus last month â€“ but has now beaten the illness",Equivalence
207,"Aruna Seth was meant to marry the love of her life, Thomas, in a civil ceremony yesterday. But like many other brides, the high fashion footwear designer, had to cancel the event. Now it looks as if her luxury Â£80,000 wedding, due to take place with 200 guests in Lake Como this July, wonâ€™t be happening either. The couple have planned a two-in-one event over three days, with both a European wedding and an Indian one to celebrate their individual heritages.",The bride has spent thousands on her big day,Complementarity
208,"Carol Vorderman has donated her beloved plane to help NHS staff. The 59-year-old shared a series of photos with her plane on Twitter. Followers quickly flooded Carolâ€™s post with praise, celebrating her generosity. The UK Covid-19 death toll has risen to 3,605, with more than one million people infected around the world. Carol also unveiled a new project aiming to teach children maths during the coronavirus pandemic. She revealed she wanted to help parents with kids home during the day â€“ as well as adults who may be struggling with figures.",Carol Vorderman has donated her beloved plane to help NHS staff,Equivalence
209,"The four-day event saw more than 250,000 racegoers attend. A number of people posted on social media to say they attended the festival, only to go on and develop symptoms of Covid-19. Festival organisers stood by the decision to host the meeting, saying it complied with the government guidance at the time. When the festival was getting underway, running from March 10 to March 13, the Government had yet to implement any social distancing measures. The day before it started, the Department of Culture, Media and Sport said there was 'no rationale' to postponing events.",Packed crowds ahead of the Marsh Novicesâ€™ Chase during day three of the Cheltenham Festival,Complementarity
210,"The child is among 637 people who have lost their lives to Covid-19 in the last 24 hours in England. Overall in the UK another 708 people have died after contracting coronavirus, taking the UK death toll to 4,313. Of todayâ€™s new cases, the oldest patient was 104, and 40aged between 48 and 93 had no known underlying conditions. A total of 41,903 people have now tested positive for the virus, NHS England said.","NHS England confirmed a child, 5,is among the new victims of coronavirus",Equivalence
211,"New York State Governor Andrew Cuomo revealed the gift on Saturday, and said the breathing equipment would be arriving in the city later today. Cuomo said the west coast state of Oregon had also donated 140 ventilators, with New York set to hit its coronavirus â€˜apexâ€™ â€“ when it will see the most daily diagnoses and deaths. Coronavirus originated in the Chinese city of Wuhan late last year, with the countryâ€™s government facing growing questions over claims it lied.","New York State Governor Andrew Cuomo said on Saturday that China had donated 1,000 ventilators to help his state battle its worsening coronavirus pandemic",Equivalence
212,"The Peopleâ€™s Republic has recorded more than 80,000 cases and 3,000 deaths since the outbreak began in December. At 10am Beijing time, the country observed three minutes of silence to mourn those who died. Cars, trains and ships sounded their horns and air sirens wailed and all forms of entertainment were suspended. The national day in morning coincided with the start of the annual Qingming tomb-sweeping festival, when millions of Chinese families pay respects to their ancestors. The majority of cases were in Wuhan, Hubei province, where the Sars-like virus was first detected.",The national flag flies at half-mast at Tiananmen Square in Beijing,Complementarity
213,"The number of confirmed cases around the world currently stands at 1,119,109, with the US having the highest number of cases at 278,458. The UK death toll now exceeds 3000 with the UKâ€™s youngest victim, aged just 13, having his funeral with no family able to attend. Many believe the peak of the virus will hit around Easter Sunday, and could then start to level out. But if youâ€™ve already had coronavirus, can you catch it again?, Unfortunately, the virus is still so new that not a lot is known as concrete fact yet.",The number of confirmed cases continues to rise across the UK,Equivalence
214,"Patient was transferred from a military base to the only civilian hospital in the British overseas territory at the end of March with symptoms of Covid-19. The patient, who is not on a ventilator, is in a stable condition and being carefully looked after by the hospital staff. The Falkland Islands government has put in place measures to limit the spread of the virus. Last Friday, it shut all schools and nurseries. All workers not deemed critical have been told to stay at home.",The patient was admitted from the Mount Pleasant Airfield complex,Complementarity
215,"In an open letter, NHS England medical director Stephen Powis and the governmentâ€™s chief medical officers called for patients from primary care to intensive care to be involved. There are three main trials ongoing: Principle, for higher risk patients in primary care, Recovery, for those in hospital, and REMAP-CAP for critically ill patients. Other studies are being encouraged, including one looking at children and young people with immune system problems. The letter suggests doctors could be â€˜wasting opportunitiesâ€™ by giving patients certain treatments without enrolling them in a trial.",Some drugs used for other diseases have shown some promise in treating symptoms,Complementarity
