Article ID,Summary,Caption,Category,Explanation
11,"There are now 98 cases in 18 countries outside China. Eight involving human-to-human transmission in Germany, Japan, Vietnam and the US. Around 150 UK citizens are due to be brought back from a flight leaving the epicentre of the outbreak, the Chinese city of Wuhan, at 7am local time on Friday. British medical officers increased the risk level in the UK from low to moderate. At least 170 people have died from the virus in China, however there have so far been no deaths outside of the country.",The virus has been declared a global health emergency after 170 people died,Equivalence,"Both the summary and the caption refer to the same event: the declaration of a global health emergency following 170 deaths. The number of deaths is an exact match between the two texts, indicating a Token-Token relationship."
12,"Italy has confirmed its first cases of the deadly coronavirus, shortly after the outbreak was declared a global health emergency. Italian prime minister, Giuseppe Conte, revealed that two Chinese tourists have tested positive for the virus. He has since ordered all air traffic to be blocked between Italy and China. Comes after more than 6,000 passengers and 1,000 crew members were stuck on an Italian cruise ship north of Rome on Thursday, after a Chinese woman, 54, fell ill. There are now 98 cases in 18 countries outside China, while there have been eight involving human-to-human transmission in Germany, Japan, Vietnam and the US.",The country’s prime minister confirmed there have been two positive cases in the country,Equivalence,"The summary broadly discusses Italy's confirmation of coronavirus cases, while the caption specifically refers to the prime minister's confirmation of two positive cases within the country. The summary is the general situation, whereas the caption provides a specific instance/detail from it."
13,"Two patients in England, who are members of the same family, have tested positive for the virus, Chief Medical Officer for England Professor Chris Whitty said. Department of Health has declined to say where in England the patients are from but it is understood they are being treated at a hospital in Newcastle. At least 213 people have died in China due to the outbreak – most in Hubei province – with almost 10,000 cases nationally. Another 98 cases have been confirmed in 18 countries outside China, eight involving human-to-human transmission.","More than 200 people have died from coronavirus, all but one in Hubei province where the virus is believed to have originated",Equivalence,Both the summary and caption discuss the coronavirus outbreak and specifically mention the death toll being over 200 people with the majority of deaths occurring in Hubei province. This represents a token-token match focusing on the same specific data point.
14,First cases of killer coronavirus have been confirmed in two patients in the UK. A frantic search is now underway to find anyone who may have come into contact with the patients – who are members of the same family. The pair are now in isolation and being treated by a specialist infectious disease team in Newcastle after being diagnosed and transferred there overnight. The Department of Health has so far declined to say where in England the patients are from. Authorities have said the NHS is ‘extremely well-prepared’ for cases of the Wuhan novel coronav virus.,Ambulance crews on stand-by at RAF Brize Norton in Oxfordshire where a return flight from Wuhan will land today,Complementarity,"The summary discusses the first confirmed cases of coronavirus in the UK and the response. The caption provides additional, adverbial information by specifying a location (RAF Brize Norton in Oxfordshire) where a flight from Wuhan will land, giving context to the broader situation described in the summary."
15,"The person is a Chinese national who was diagnosed this afternoon. She is believed to be on her way to hospital where she will receive medical attention. Experts have previously warned that London is at greater risk than other cities in Europe due to its large population and admiration by tourists. It is estimated that around 142,000 travel from China to the capital between January and March every year. The new case in London means there are nine people in the UK infected with the coronavirus, while more than 1,750 have been tested.",People in London wear face masks amid the coronavirus outbreak,Complementarity,"The summary discusses a specific coronavirus case in London and statistics related to travel from China. The caption shows people wearing face masks in London, which is related to the coronavirus outbreak mentioned in the summary, but provides additional context that isn't essential to understanding the core message of the summary."
16,Doctors still do not know how fast coronavirus could spread if a serious outbreak spreads in the capital. Londoners have been put on red alert after a woman became the ninth person in the UK to test positive for the deadly virus. It’s feared the highly-contagious disease could easily spread among packed Tube carriages and buses. But experts have said the risk can’t be properly assessed until they know more about the new strain of coronav virus. Tropical disease specialist Dr Richard Dawood said: ‘We’re only two months into the very first recorded case.’,"London has recorded its first case of coronavirus, sparking fears about the London Underground",Equivalence,"Both the summary and the caption explicitly mention 'London' and 'coronavirus', establishing a direct and unambiguous correspondence between the texts. The caption highlights London recording its first case of coronavirus while the summary discusses the potential spread of the virus in London."
17,"The patient was one of the 250 delegates at the UK Bus Summit at the QEII centre in Westminster on February 6. They did not start showing symptoms until three days later and were later confirmed to have the disease. They were among delegates and high profile people from across the country including bus minister Baroness Vere of Norbiton. Initially it was thought she was the London patient, the ninth person to have contracted the virus, but this was not the case. Nearly 800 people were tested yesterday for the virus across the UK after the ninth confirmed case of coronavirus.",Some 250 people have been emailed warning them to look out for symptoms ove the virus,Equivalence,"The summary mentions ""250 delegates"" and the caption refers to ""Some 250 people"". The numerical value and context are identical, indicating a direct token-token equivalence, so the article and image are directly related."
18,"Professor Neil Ferguson admitted the deadly virus is the ‘one which concerns me the most’ in an interview on Friday, as the death toll in China hits 1,500 and 66,000 people are infected. The British scientist admitted the figure was ‘possible’ but warned against estimating numbers as so little information is currently available. Speaking on Channel 4’s special ‘Coronavirus: Is Britain ready?’, the professor said Britain is ‘probably where Wuhan was at the beginning of December’",Professor Neil Ferguson said COVID-19 is the ‘one which concerns me the most’,Equivalence,"The caption directly quotes Professor Neil Ferguson regarding his concerns about COVID-19. This is a direct, token-to-token match of a key phrase found within the article summary, indicating literal equivalence."
19,"Health Ministry spokesman Khaled Mugahed said that the affected person was a ‘foreigner’ who did not show any serious symptoms. Officials were able to confirm the case through a screening programme for travellers arriving from countries where the disease has spread. Coronavirus has spread to over 25 countries worldwide since emerging at a seafood market in the Chinese city of Wuhan in early December. The death toll has surged past 1,500 and there have been over 60,000 cases globally – although experts say this figure could be much higher.",Governments and institutions across Africa are preparing for an outbreak of the deadly coronavirus,Complementarity,"The summary discusses a specific coronavirus case and its spread, while the caption broadens the context to address preparedness efforts in Africa. The caption adds supplementary context by focusing on a specific region's response to the broader issue discussed in the summary, but this information is not essential to the summary's core message about the virus's spread and impact."
20,"Greffex said it is ready for animal testing and review by US regulators. Firm insisted that, for the sake of safety, scientists avoided using any form of the virus itself to make the vaccine. Because so little is known about the virus, known as COVID-19, the experts didn’t want to run the risk of exposure or spread. Instead, they used an adenovirus – one of the most common causes of respiratory infections and behind between two and five percent of colds.",Texas-based genetic engineering firm Greffex claims to have found a coronavirus vaccine,Equivalence,"The summary mentions ""Greffex"" and the caption states ""Texas-based genetic engineering firm Greffex"". Both texts refer to the same entity, the company Greffex, using the same token."
21,Conspiracy theorists are blaming the coronavirus on 5G mobile technology with no evidence for their claims. Users on Facebook and YouTube have shared posts and videos which have been collectively watched and shared by thousands of people. The theory centers on the fact that Wuhan was the first city in China to receive 5G (there is no evidence to suggest it can) and that COVID-19 is just a more virulent version of a cold. Some of the theories also blame vaccines given to Chinese citizen last year.,There is no evidence that 5G has anything to do with the coronavirus,Equivalence,"The summary discusses a conspiracy theory linking 5G and the coronavirus. The caption directly refutes this claim by stating ""There is no evidence that 5G has anything to do with the coronavirus"", showing a direct match in tokens related to the core topic."
22,"Vatican said the pontiff, 83, had a ‘slight indisposition’ and would proceed with the rest of his planned work today. There was no word from the Vatican about the nature of his illness, but the pope was seen coughing and blowing his nose during the Ash Wednesday Mass. It comes amid an outbreak of the strain of coronavirus – also known as Covid-19 – in Italy that has infected more than 400 people, almost all of them in the north.",The Pope appeared unwell yesterday,Equivalence,"The summary discusses the Pope's health and mentions he appeared unwell. The caption directly states ""The Pope appeared unwell yesterday"", creating a token-token match by referring to the Pope's apparent state of health."
23,"Two more people in England have tested positive for coronavirus, bringing the total number of UK cases to 15. One of the new cases is understood to be a parent from Burbage Primary School in Buxton, Derbyshire, who caught the virus while in Tenerife. 168 Britons have been told to isolate themselves at the H10 Costa Adeje Palace after four people who stayed there from Italy were confirmed to have caught the deadly virus. More than 400 people have been infected with the virus in Italy and 12 people have died.",Two more people have caught coronavirus in the UK – they contracted the virus in Italy and Tenerife,Equivalence,"The summary and the caption both refer to the same event: new coronavirus cases in the UK linked to Italy and Tenerife. The entities and relationships described are consistent across both texts, indicating a direct correspondence."
24,"Female tour-bus guide, 40, in Osaka, Japan, tested positive for the infection for a second time. Follows reports that discharged patients throughout the country were testing positive after their release from hospital. Experts said there are several ways discharged patients could fall ill with the virus again. Convalescing patients might not build up enough antibodies to develop immunity to SARS-CoV-2, and are being infected again. The virus also could be ‘biphasic’, meaning it lies dormant before creating new symptoms.","Commuters make their way to work during morning rush hour at the Shinagawa train station in Tokyo, Japan",Complementarity,"The summary discusses a tour-bus guide in Osaka contracting a virus, while the caption depicts commuters in Tokyo. The caption provides contextual information about daily life in Japan, but it is not essential to understanding the main point of the summary."
25,"Covid-19, the current strain of coronavirus, continues to spread across the world. The virus has now struck over 50 countries, including China, South Korea, Japan, Thailand, Iran, Italy, Germany, the US, and the UK. At the time of writing, WHO figures report over 2,800 deaths worldwide, most of which have occurred in China. There is no specific cure for the viral illness, although hospitals are trying to relieve the symptoms with aspirin, ibuprofen or cold and flu remedies.","Map of reported cases of coronavirus, dated 28 Feb",Complementarity,"The summary describes the spread of Covid-19, while the caption shows a map of reported cases. The map provides additional context and visualization of the spread, but it is not essential to understanding the core message of the summary, functioning as an adjunct."
26,"Health Minister Marta Temido said two people contracted the virus after returning from abroad. One is a 60-year-old man who had recently travelled to Italy, the site of Europe’s worst outbreak. Another man recently returned from Valencia in Spain. Both were taken to hospital in Porto in a stable condition, Ms Temido added. The president of the European Commission said the risk of coronavirus in the EU had risen from moderate to high. Paolo Gentiloni called for a ‘coordinated fiscal response’ across the continent.",Every country in western Europe has now reported cases of the virus,Complementarity,"The summary discusses specific cases and the rising risk of coronavirus in the EU. The caption provides additional context by stating that every country in Western Europe has reported cases, supplementing the information in the summary but not essential for understanding it."
27,"Morocco has its first coronavirus case, officials confirmed. The North African country’s health ministry said on Monday a Moroccan man living in Italy had been diagnosed with the infection. The man is currently receiving health care at a hospital in Casablanca and his health condition is not critical. Meanwhile, in the UK Boris Johnson has warned the spread of coronav virus is likely to become more significant across the UK as the number of people infected climbs to 39. In total, four new cases were announced on Monday, all among people with recent travel to Italy, which is experiencing the biggest outbreak in Europe.",A man in Morocco has been diagnosed with the coronavirus,Equivalence,"The summary and caption both explicitly state that a man in Morocco has been diagnosed with the coronavirus. The texts share the same core information using similar tokens, indicating a direct correspondence."
28,"Boris Johnson has revealed the government's battle plan to tackle coronavirus in the UK. If police lose 'significant staff' numbers to illness, they would 'concentrate 'on responding to serious crimes and maintaining public order' In a 'stretching scenario', it is possible that up to one fifth of employees may be absent from work during peak weeks. Supporting staff welfare 'will be critical' for businesses. The public can help delay the spread of the virus by washing hands with soap regularly, not spreading misinformation and relying on trusted sources.",Researchers claim coronavirus can be caught through smartphones,Independence,"The summary discusses the UK government's plan to tackle coronavirus, while the caption mentions a specific claim about how the virus can be transmitted. Both texts relate to the general topic of coronavirus but convey distinct and independent pieces of information, so they are grouped together thematically."
29,"Amelia-Eve Warden, 25, was diagnosed with multiple anxiety disorders seven years ago. She has experienced panic attacks when leaving the house due to fears of catching or spreading coronavirus. When she developed pneumonia, her fears spiralled. BACP-registered counsellor Elizabeth Turp explains that the threat of coronav virus hits some of us so hard because it’s an ‘unknown threat’ that taps into many of our deepest anxieties. If you are struggling with health anxiety, there are some steps you can take.",The raised threat level is sure to induce more panic,Complementarity,"The summary describes Amelia's anxiety related to coronavirus and pneumonia, and the caption, ""The raised threat level is sure to induce more panic"", functions as an adjunct. It adds supplementary context regarding the general panic associated with the raised threat level that contributes to the anxieties discussed in the summary."
30,"Ads were found to be ‘misleading, irresponsible and likely to cause fear without justifiable reason’ They made false claims about their ability to prevent the spread of coronavirus. Advertising Standards Authority ruled that the adverts were in breach of its code and ordered the advertisers to ensure they did not repeat the claims. Easy Shopping 4 Home Ltd, which appeared on the Amazon website, and adverts by Novads OU for its Oxybreath Pro mask were banned by the ASA.",An advert for facemasks on the Amazon website,Equivalence,"The summary discusses misleading ads for face masks on Amazon, and the caption directly shows ""an advert for facemasks on the Amazon website."" The caption provides a visual example of the type of advertisement being discussed in the summary, establishing a type-token relationship."
31,"Total number of confirmed cases in England is now at 80, with cases in Northern Ireland, Wales and Scotland bringing the UK total to 87. England’s chief medical officer Professor Chris Whitty confirmed it was the biggest day-on-day increase since the Covid-19 strain of coronavirus hit the UK. He said 29 new patients had recently travelled from countries where the virus has spread, but it is not yet clear where a further three cases contracted the virus. Professor Whitty said the NHS would cope with a major spread of cases but could come under 'very high pressure’ in a large epidemic.",A nurse demonstrates testing procedures at a ‘coronavirus pod’ at Antrim Area Hospital in Northern Ireland,Complementarity,"The summary discusses the overall COVID-19 situation in the UK, while the caption shows a specific instance of testing procedures in Northern Ireland. The caption adds supplementary context to the general situation described in the summary, but is not essential to understanding the core message about the spread of the virus."
32,"The coronavirus has caused more than 3,000 deaths and infected almost 100,000 people around the world. A project called Folding@Home lets anyone use their computer to analyse the structure of the virus. All you need to do is download an app (which you can do by clicking here) that will harness your computer’s processing power. Once this is understood, scientists will be one step closer to designing a life-saving vaccine. ‘With many computers working towards the same goal, we aim to help develop a therapeutic remedy as quickly as possible’",An electron microscope image of the novel Coronavirus SARS-CoV-2,Equivalence,"The summary discusses the coronavirus in general terms, while the caption shows a specific instance of it - an electron microscope image of the virus. The summary refers to the concept, and the caption provides a visual example."
33,"A child has tested positive for coronavirus at Alder Hey Children’s Hospital in Liverpool. At the time of writing, there have been 163 confirmed cases of the virus in the UK. The first person to die after testing positive for the virus was a woman in her 70s with underlying health conditions. A second person, a man in his 80s, is also feared to have died from coronav virus in a Milton Keynes hospital. Downing Street has warned that it is ‘highly likely’ coronav Virus could spread ‘in a significant way’",The number of people who’ve tested positve for coronavirus in the UK has risen sharply,Equivalence,"The summary states the number of confirmed cases of coronavirus in the UK. The caption directly reflects this information, confirming the increase in positive cases within the UK, indicating a direct token-token correspondence."
34,"Early symptoms of coronavirus include a fever, sore throat, dry cough, and shortness of breath. Many of those affected by the virus suffer only mild symptoms, however there has been fluid found in the lungs of some patients which is consistent with viral pneumonia. The illness is more likely to become severe in patients with weakened immune systems or among the elderly. People in the UK with ‘minor’ fever, cold or flu symptoms are asked to stay at home in self-isolation in a future bid to contain the virus.",People wearing masks to protect against coronavirus outside the Commonwealth Service at Westminster Abbey on Commonwealth Day,Complementarity,"The summary describes the symptoms and spread of coronavirus. The caption provides context by showing people wearing masks as a preventive measure, adding supplementary information that enriches but isn't essential to understanding the core message about the virus itself; thus, it's a non-essential agent-object relationship."
35,"Chancellor Rishi Sunak delivered one of the most important Budgets in UK history, amid the coronavirus outbreak. In his first month in the job, the chancellor was tasked with re-writing plans in a Budget that aims to bring some relief to the UK economy. Mr Sunak acknowledged there would be a ‘significant impact’ to the economy but it ‘will be temporary’, adding that ‘our economy is robust’ and ‘we will get through this together’",Chancellor of the Exchequer Rishi Sunak holds up the traditional red box that contains the Budget speech,Complementarity,"The summary describes Rishi Sunak's budget speech, while the caption shows him holding the traditional red box associated with the budget. The caption provides supplementary context (him holding the box) that is not essential to understanding the core message of the summary (the budget speech)."
36,"Boris Johnson will chair an emergency Cobra meeting at lunchtime today. Ministers are expected to sign off on the ‘delay’ part of the Covid-19 strategy. It is not yet entirely clear what restrictions will be imposed. The number of positive cases in the UK jumped to 460 on Wednesday, an increase of 83 people in just 24 hours, and two new deaths were recorded, bringing the total number to eight. It came as Covids-19 was officially declared a pandemic by the World Health Organisation.",The UK is set to announce the ‘delay’ phase of its coronavirus ‘battle plan’ today,Equivalence,The summary and caption both explicitly mention the 'delay' phase in relation to the UK's coronavirus strategy. The presence of identical tokens referring to the same concept indicates a token-token match.
37,"After today, Ireland will close all childcare facilities, schools and colleges. The Dublin St Patrick’s Day parade, which was scheduled for 17 March, has also been cancelled, with a ban on large gatherings to be implemented. At the time of writing, there have been 34 confirmed cases of coronavirus in Ireland. The Foreign and Commonwealth Office has not advised against travelling to Ireland at this time. It does, however, advise that ‘travellers to Ireland to follow the advice of the Health Service Executive and the Health Protection Surveillance Centre’",There are 34 reported cases of coronavirus in Ireland,Equivalence,"The caption explicitly states 'There are 34 reported cases of coronavirus in Ireland', which is a direct, word-for-word match to a statement within the summary. This constitutes a literal equivalence at the token level."
38,"Most countries now have some form of a travel ban in place with many imposing a ban on anyone entering from China. Many countries have banned entry for anyone who has visited Italy within the last 14-28 days, including Saudi Arabia, India, Jordan and Romania. President Trump has now imposed a sweeping ban on travellers coming to the USA from all of Europe, with the exception of non-Schengen countries such as the UK, Ireland and Croatia. UK residents can still, at the time of writing, enter most places, unless they have been to an affected area.",Travel plans have been affected across the world,Complementarity,"The summary describes specific travel bans and restrictions, while the caption provides a general statement about the impact on travel plans. The caption enriches the understanding of the summary by highlighting the widespread consequences of the described bans, but it's not essential to understanding the summary's core message."
39,"The coronavirus outbreak has now been officially classified as a global pandemic. Older people and people with pre-existing health conditions are at risk of becoming seriously ill or dying. It is vital that we are all cautious and do everything in our power to protect these vulnerable sections of society. But mass panic is not helpful. Increased levels of stress and anxiety are the last things we need at a time like this. We asked different sections of the public to explain why they’re feeling anxious right now, and their coping mechanisms for getting through the worst of it.",It’s best to only check for news updates twice per day,Complementarity,"The caption offers advice about managing news consumption, which supplements the summary's discussion about anxiety during the pandemic. While the summary discusses anxiety and coping mechanisms, the caption adds a specific coping strategy, making it a non-essential complement rather than a core element needed for understanding the summary."
40,"Don’t let your mind jump straight to ‘oh God, I have coronavirus’ You might be having a panic attack. Feeling anxious amidst the COVID-19 pandemic is to be expected. But you might not be able to identify the physical signs of struggling with anxiety. This can cause a dangerous cycle of panic. You worry about coronav virus, so your body creates what feels like symptoms. This leads to more anxiety and worsening symptoms. Early symptoms include a fever, dry cough, shortness of breath and a sore throat.",It’s important to recognise the very physical symptoms of anxiety,Equivalence,"The summary discusses the physical symptoms of anxiety, particularly in the context of the COVID-19 pandemic. The caption directly states the importance of recognizing the physical symptoms of anxiety, creating a token-token match on the key concept."
41,Trials have already successfully been completed in mice and could be ready for human trials by June. The experiments are being led at Imperial College London by Mucosal Infection and Immunity head Dr Robin Shattock. They have called for more funding and said a vaccine could be available next year. The developments come as the UK is poised to ban large public gatherings to contain the pandemic. So far 11 people in the UK have died and the number of cases is now close to 800.,Scientists say they are close to finding a coronavirus vaccine,Equivalence,"The summary discusses scientists developing a vaccine for coronavirus, and the caption explicitly states that scientists are close to finding a coronavirus vaccine. The texts refer to the same central concept using the same tokens, specifically the search for a 'coronavirus vaccine'."
42,World Health Organisation says not enough is known about the virus. Boris Johnson has come under fire for not immediately banning large-scale gatherings or closing schools to deal with the outbreak. Next week the UK is set to ban large scale gatherings of more than 500 people and give police new powers to detain infected people if they break self-isolation rules. The UK government believes the virus will infect the majority of the population and that the peak could still 10 to 14 weeks away. They are attempting to reduce pressure on the NHS by 'flattening out the curve' of the number of infections.,Dr Margaret Harris from the World Health Organisation questions the UK approach,Equivalence,"The summary mentions the 'World Health Organisation', and the caption features 'Dr Margaret Harris from the World Health Organisation'. The caption provides a specific instance (Dr. Harris) of the general category mentioned in the summary, indicating a Type-Token relationship."
43,"Number of confirmed cases of coronavirus in the UK has jumped by 232 in just one day, while 14 more people have died. As of 9am on March 15, a total of 1,372 were confirmed to have Covid-19, the Department of Health and Social Care announced. A man, in his late 50s, died after being treated at Bristol Royal Infirmary, it was confirmed earlier today. It came after Health Secretary Matt Hancock announced the elderly and vulnerable will be forced to go into quarantine for up to four months.",Numbers in the UK continue to rise as Europe has been confirmed as the new epicentre of the outbreak,Complementarity,"The caption provides additional context about the broader situation of the outbreak, specifically mentioning the rise in numbers and Europe becoming the epicenter. This information enriches the summary but isn't essential to understanding the core message about the UK's specific case numbers and quarantine measures."
44,"You can help by donating to food banks, giving blood and supporting small businesses. Check-in with friends and elderly relatives or neighbours to see if they need anything picked up from the shops. Join a Facebook group in your area to help, or if you need assistance, sign up and post in the group. Check with your local foodbank (by giving them a call or searching online as many are posting on social media) about what they need. See if there’s some things you can give away that you already have or donate funds if you can.",Knock to let someone know you are there and then leave what they need on the doorstep,Complementarity,"The summary describes various ways to help others, and the caption provides a specific action (knocking and leaving items) that complements one of those methods (providing needed items). While the summary could be understood without this specific action, the caption adds supplementary context to how the help can be delivered."
45,"So far 21 people have lost their lives to Covid-19 in the UK, while 1,140 people are confirmed to have tested positive for the disease. Early symptoms of coronavirus include a fever, dry cough, shortness of breath and a sore throat. This can progress to a more serious illness in a small number of patients, mainly the elderly or those with underlying health conditions. If you think you may have symptoms of the virus do not go to a GP, pharmacy or hospital. Instead you should stay at home and self-isolate for seven days.",Coronavirus has claimed 21 lives in the UK so far while others are taking steps to prevent themselves against the disease,Equivalence,"The summary states that 21 people have died from Covid-19 in the UK. The caption repeats this exact claim. Therefore, the texts share a direct, token-for-token equivalent piece of information."
46,"Matt Hancock said ‘we will stop at nothing’ in tackling the Covid-19 outbreak. Bars, restaurants and shops other than supermarkets and pharmacies could be shut. Over-70s will be asked to stay indoors for up to four months. Emergency legislation being drawn up by the Government will include allowing police the power to arrest infected citizens. Labour’s shadow health secretary Jonathan Ashworth asked for reassurance from the Government about some of the ‘very stringent powers’ ministers hope to introduce.",Police officers will get increased powers to deal with coronavirus patients who are not self-isolating,Equivalence,"The summary mentions the government drawing up emergency legislation to allow police to arrest infected citizens. The caption directly reflects this by stating that police officers will get increased powers to deal with coronavirus patients, indicating a token-token match in content."
48,"Number of coronavirus deaths in the UK has jumped to 55 after 20 people died in just 24 hours. Department of Health confirmed another 171 people tested positive for Covid-19, bringing the total number of infections to 1,543. The latest figures come after the PM asked the country to go into voluntary lockdown as he set out the need for ‘drastic action’ to tackle the ‘fast growth’ of the virus. ‘Now is the time for everyone to stop non essential contact with others and to stop all unnecessary travel’ he said.","Over 150,000 cases have been diagnosed worldwide",Complementarity,"The summary focuses on the UK, while the caption provides a global perspective on the number of cases. The caption adds supplementary context to the summary, enhancing the understanding of the pandemic's scale but not essential to understanding the UK specific information."
49,"At least 10 lives were saved when technician Christian Fracassi came to the aid of an overwhelmed Brescia hospital. Doctors raised the alarm after their regular supplier said they could not produce the valves on time – forcing them to come up with an alternative solution. With the help of the editor of a local newspaper and tech expert Massimo Temporelli, doctors launched a search for a 3D printer – a devise that produces three dimensional objects from computer designs. The valves he produced worked on 10 patients at the overstretched hospital, and the engineer is in the process of creating 100 more.",An oxygen valve firm has refused to hand over the blueprint of their device which could be produced en-masse with the help of a 3D printer,Complementarity,The caption provides additional context about the oxygen valve firm refusing to hand over the blueprint. This information enriches the understanding of the situation described in the summary but is not essential to understanding the core message of the summary about Christian Fracassi and the 3D-printed valves.
